PM10;PM2.5;VeL_Viento;Temperatura;Humedad;Rad_Solar;Lluvia
21;7;1,7;25,9;70,1;0;0
33;4;0,5;26;70,1;0;0
29;3;2,5;25,1;73,5;0;0
53;10;2,3;24,7;76,8;0;0
43;14;1,9;24,7;76,8;0;0
51;10;2,3;25;75,9;9;0
67;12;1,2;25,8;73,3;43,6;0
55;19;0,8;26,4;70,4;77,4;0
58;13;1,4;27,2;66,8;149,5;0
74;23;2,3;28,7;61,3;265,7;0
67;13;1,2;30;55,4;320,4;0
52;17;3,1;31,3;49,4;307,4;0
44;3;3,8;33,1;41;190,2;0
39;13;3,8;32,8;43,5;90,9;0
56;6;6,5;32;44,6;65;0
41;5;6,5;30,6;47,1;17,5;0
51;9;2,4;29,5;51,2;0;0
55;14;3,7;27,9;59,4;0;0
41;16;2,5;26,8;64,7;0;0
60;20;2,8;26,9;64,2;0;0
62;15;3,6;26,6;67;0;0
53;12;2,4;30,6;48,9;285,3;0
65;14;2,6;32,3;41,5;404,8;0
74;32;2,8;33,5;37,9;388,2;0
67;26;3,7;34;36,3;196,3;0
74;15;5,2;33,7;37,2;185,5;0
80;18;7,4;32,8;38,7;89,1;0
77;15;7,8;30,6;44,7;14,2;0
54;16;6,8;29,3;47,8;0;0
84;37;2,2;28,6;51;0;0
71;21;2,9;27,2;57,1;0;0
64;28;3,3;26,5;60,3;0;0
47;9;1,7;26,8;57,8;0;0
49;11;1,6;26,4;60,3;0;0
59;11;2,4;25,9;64;0;0
76;22;2,3;25,4;67,1;0;0
69;18;2,6;24,2;71,1;0;0
52;16;2;24;71,6;0;0
65;21;1,2;24,5;69,3;0;0
68;21;0,5;24,2;69,7;0;0
78;30;1,4;24,4;70,1;4,8;0
72;21;2,1;24,8;69,5;28,9;0
78;26;1,6;25,4;68,9;89,7;0
79;29;2,4;26,8;62,7;190,1;0
76;18;1,6;28,8;54,6;337,7;0
68;21;1,5;30,4;48,6;380,9;0
82;36;1,6;31,7;43,9;386,1;0
75;32;3,7;33,1;38,5;364,3;0
96;34;2,9;33,4;38,7;244;0
72;24;4,1;33,7;38;213,4;0
56;13;5,9;33,5;37,4;126,4;0
68;13;5,6;31,7;41;12,5;0
64;19;5,4;30,6;44,2;0;0
72;20;2,1;29,8;47,8;0;0
75;18;3,8;27,4;58,6;0;0
71;18;2,8;26,2;64,3;0;0
40;14;3,8;26,2;63,8;0;0
53;10;2,5;25,9;65,1;0;0
45;17;2,5;26;65,7;0;0
70;22;2;25,6;67,7;0;0
74;20;1,9;25,3;69,4;0;0
72;20;1,2;25,1;70,1;0;0
85;22;1,9;25,3;68,8;0;0
81;29;1,5;25,2;69,5;0;0
104;30;2,4;24,7;71,9;0;0
132;44;1,9;24,5;74,1;16,8;0
113;33;0,8;25,4;70,4;70,9;0
100;26;2,1;27,5;61,5;245,1;0
77;21;1,2;29,5;53,4;340;0
69;19;0,7;31,2;47,3;401;0
73;25;2,1;32,6;42,1;377,1;0
79;27;2,5;32,9;40,5;164,6;0
79;32;2,4;32,6;40,6;129,5;0
77;15;6,6;33,3;38,6;205;0
45;7;7,4;32,7;39;91,2;0
57;7;6,1;31,3;42,7;14,5;0
56;17;5,2;29,9;46,8;0;0
78;24;2,1;29,2;50,3;0;0
63;23;4;27,2;59,4;0;0
49;12;2,5;26;65,3;0;0
53;13;0,1;26,6;62,8;0;0
57;18;2,2;25,9;65,7;0;0
45;11;1,1;25,2;70,1;0;0
70;24;0,9;25;71,2;0;0
68;30;0,9;24,9;71,9;0;0
61;22;1,8;25;71,1;0;0
60;19;0,8;24,7;72,5;0;0
76;25;1,1;24,6;73,1;0;0
95;26;0,3;24,7;73,9;0;0
95;21;1;25,2;71,7;30,7;0
93;17;2,3;26,6;66,3;172;0
64;17;2,2;28,4;58,5;273,9;0
86;24;1,9;30,3;51,8;357,4;0
57;21;3,4;31,9;46;402,1;0
77;21;2,4;33,1;41,4;362,3;0
84;27;3,5;34,4;37;398,5;0
77;27;4,4;34,8;35,6;280,9;0
59;25;2,7;34,8;35,6;208,5;0
68;21;3,7;34,5;36,8;69,9;0
89;22;5;33,3;40,5;24,4;0
85;26;6,5;31,2;46,8;0;0
79;25;4,8;30,1;49,9;0;0
70;17;3,9;28,4;57,4;0;0
58;14;2,5;27,1;62,6;0;0
55;16;2,7;27;62,9;0;0
37;12;2,6;26,5;65,8;0;0
50;18;2,1;26,8;65,4;0;0
70;9;2,4;26,2;67,7;0;0
59;11;1,6;25,9;70,2;0;0
57;18;0,8;25,6;73,7;0;0
55;16;2,1;25,4;74,3;0;0
91;29;2,1;25,9;70,6;0;0
