"","VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"454",1,2023-01-13 08:53:56,2023-01-13 09:02:22,1,0.8,1,"N",142,143,1,7.9,2.5,0.5,2,0,1,13.9,2.5,0
"455",2,2023-01-27 17:35:06,2023-01-27 17:59:24,1,3.68,1,"N",48,148,1,22.6,1,0.5,2.76,0,1,30.36,2.5,0
"456",2,2023-01-29 10:56:03,2023-01-29 11:10:42,1,2.31,1,"N",142,141,1,15.6,0,0.5,1,0,1,20.6,2.5,0
"457",2,2023-01-26 09:00:18,2023-01-26 09:14:18,1,0.99,1,"N",237,140,1,12.8,0,0.5,3.36,0,1,20.16,2.5,0
"458",1,2023-01-11 16:37:19,2023-01-11 17:19:53,2,14.4,1,"N",132,40,2,58.3,2.25,0.5,0,0,1,62.05,0,1.25
"459",2,2023-01-19 10:31:10,2023-01-19 10:45:08,6,1.88,1,"N",246,142,1,13.5,0,0.5,3.5,0,1,21,2.5,0
"460",1,2023-01-29 05:23:44,2023-01-29 05:30:25,1,0.8,1,"N",143,143,2,7.2,2.5,0.5,0,0,1,11.2,2.5,0
"461",2,2023-01-11 05:54:32,2023-01-11 06:10:24,1,2.4,1,"N",264,231,1,16.3,0,0.5,2,0,1,22.3,2.5,0
"462",2,2023-01-06 11:56:56,2023-01-06 12:03:19,1,0.96,1,"N",142,43,1,7.9,2.5,0.5,2.88,0,1,17.28,2.5,0
"463",1,2023-01-13 23:11:44,2023-01-13 23:20:52,1,2,1,"Y",249,246,1,11.4,3.5,0.5,0,0,1,16.4,2.5,0
"464",1,2023-01-30 12:57:11,2023-01-30 13:51:44,1,18.5,2,"N",161,132,2,70,7.5,0.5,0,6.55,1,85.55,2.5,0
"465",2,2023-01-05 12:57:07,2023-01-05 13:38:07,1,6.08,1,"N",170,66,1,38.7,2.5,0.5,9.04,0,1,54.24,2.5,0
"466",2,2023-01-18 12:13:11,2023-01-18 12:21:19,1,1.27,1,"N",162,137,1,9.3,2.5,0.5,4.2,0,1,20,2.5,0
"467",2,2023-01-27 07:09:02,2023-01-27 07:25:00,2,0,1,"N",170,211,1,13.5,0,0.5,2,0,1,19.5,2.5,0
"468",2,2023-01-07 22:26:21,2023-01-07 22:41:59,1,3.44,1,"N",246,87,1,18.4,1,0.5,0,0,1,23.4,2.5,0
"469",2,2023-01-24 10:42:00,2023-01-24 11:02:24,1,1.75,1,"N",211,45,1,18.4,0,0.5,4.48,0,1,26.88,2.5,0
"470",2,2023-01-21 06:35:22,2023-01-21 06:47:32,1,1.64,1,"N",162,43,1,13.5,0,0.5,2.62,0,1,20.12,2.5,0
"471",2,2023-01-19 08:20:07,2023-01-19 08:31:42,3,0.95,1,"N",162,230,1,10.7,0,0.5,2.5,0,1,17.2,2.5,0
"472",1,2023-01-30 05:53:22,2023-01-30 06:05:31,NA,1.1,NA,NA,144,231,0,10,0,0.5,7,0,1,21,NA,NA
"473",2,2023-01-31 17:11:24,2023-01-31 17:14:36,1,0.79,1,"N",141,141,1,5.8,1,0.5,3.24,0,1,14.04,2.5,0
"474",2,2023-01-07 16:04:15,2023-01-07 16:36:08,1,16.39,2,"N",132,164,1,70,0,0.5,11,6.55,1,92.8,2.5,1.25
"475",2,2023-01-30 11:53:38,2023-01-30 12:04:40,1,1.96,1,"N",164,79,1,12.8,2.5,0.5,3.86,0,1,23.16,2.5,0
"476",2,2023-01-24 13:40:10,2023-01-24 14:02:39,1,2.98,1,"N",114,48,2,20.5,2.5,0.5,0,0,1,27,2.5,0
"477",2,2023-01-08 10:34:20,2023-01-08 10:52:29,1,3.63,1,"N",239,234,2,21.2,0,0.5,0,0,1,25.2,2.5,0
"478",2,2023-01-11 11:32:20,2023-01-11 11:51:41,NA,2.64,NA,NA,43,233,0,23.47,0,0.5,4.12,0,1,31.59,NA,NA
"479",2,2023-01-28 09:49:05,2023-01-28 10:00:15,1,1.83,1,"N",239,48,1,12.8,0,0.5,5.04,0,1,21.84,2.5,0
"480",2,2023-01-22 09:48:37,2023-01-22 10:01:56,3,1.77,1,"N",264,142,1,13.5,0,0.5,1,0,1,18.5,2.5,0
"481",2,2023-01-16 10:19:22,2023-01-16 10:28:30,1,1.71,1,"N",263,238,1,11.4,0,0.5,1,0,1,16.4,2.5,0
"482",2,2023-01-27 15:22:56,2023-01-27 15:56:53,1,10.67,1,"N",138,79,1,49.2,6,0.5,11.84,0,1,72.29,2.5,1.25
"483",2,2023-01-05 09:05:28,2023-01-05 09:29:40,1,3.7,1,"N",236,234,1,24,0,0.5,3,0,1,31,2.5,0
"484",2,2023-01-20 17:26:17,2023-01-20 17:35:01,1,1.89,1,"N",236,162,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
"485",2,2023-01-27 22:36:04,2023-01-27 22:42:13,1,1.34,1,"N",4,107,1,8.6,1,0.5,2,0,1,15.6,2.5,0
"486",1,2023-01-28 14:17:04,2023-01-28 14:29:28,1,1.5,1,"N",141,233,1,12.8,2.5,0.5,3,0,1,19.8,2.5,0
"487",2,2023-01-07 15:45:08,2023-01-07 15:51:15,1,1.26,1,"N",229,137,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
"488",2,2023-01-24 17:49:12,2023-01-24 17:55:47,2,1.52,1,"N",79,137,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
"489",2,2023-01-10 09:19:48,2023-01-10 09:30:05,2,1.7,1,"N",246,230,1,11.4,0,0.5,3.08,0,1,18.48,2.5,0
"490",2,2023-01-20 04:50:25,2023-01-20 05:00:49,1,1.66,1,"N",141,170,2,11.4,0,0.5,0,0,1,15.4,2.5,0
"491",1,2023-01-05 11:10:58,2023-01-05 11:28:25,1,2.8,1,"N",238,230,2,18.4,5,0.5,0,0,1,24.9,2.5,0
"492",2,2023-01-11 11:50:50,2023-01-11 11:57:27,1,1.09,1,"N",151,238,1,8.6,2.5,0.5,3.02,0,1,18.12,2.5,0
"493",2,2023-01-07 20:10:22,2023-01-07 20:20:42,2,1.21,1,"N",249,148,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
"494",2,2023-01-06 11:52:17,2023-01-06 11:58:10,6,0.92,1,"N",234,113,1,7.2,2.5,0.5,3.42,0,1,17.12,2.5,0
"495",2,2023-01-03 14:14:27,2023-01-03 14:28:36,2,2.62,1,"N",164,211,2,16.3,2.5,0.5,0,0,1,22.8,2.5,0
"496",2,2023-01-11 08:31:41,2023-01-11 08:41:50,1,1.35,1,"N",161,246,1,10.7,0,0.5,1,0,1,15.7,2.5,0
"497",2,2023-01-19 12:42:38,2023-01-19 12:48:41,1,1.04,1,"N",113,107,4,-7.9,-2.5,-0.5,0,0,-1,-14.4,-2.5,0
"498",2,2023-01-19 09:01:21,2023-01-19 09:41:38,1,4.12,1,"N",75,186,2,33.8,0,0.5,0,0,1,37.8,2.5,0
"499",1,2023-01-19 08:23:50,2023-01-19 08:43:57,1,1.9,1,"N",229,236,1,16.3,2.5,0.5,4.05,0,1,24.35,2.5,0
"500",2,2023-01-06 20:03:22,2023-01-06 20:14:59,1,3.23,1,"N",238,162,1,16.3,1,0.5,4.26,0,1,25.56,2.5,0
