"","VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"70",1,2022-12-31 19:08:33,2022-12-31 19:10:20,4,0.3,1,"N",148,79,1,3.7,3.5,0.5,1.7,0,1,10.4,2.5,0
"71",1,2022-12-31 19:27:27,2022-12-31 19:37:08,2,1.3,1,"N",148,79,1,9.3,3.5,0.5,2.85,0,1,17.15,2.5,0
"72",1,2022-12-31 19:38:45,2022-12-31 19:41:16,2,0.3,1,"N",79,107,1,4.4,3.5,0.5,1,0,1,10.4,2.5,0
"73",1,2022-12-31 19:46:47,2022-12-31 19:56:10,1,1.7,1,"N",79,170,1,10.7,3.5,0.5,0,0,1,15.7,2.5,0
"74",2,2022-12-31 19:10:20,2022-12-31 19:23:09,1,2.79,1,"N",238,42,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
"75",2,2022-12-31 19:32:47,2022-12-31 19:50:03,2,2.91,1,"N",107,231,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
"76",2,2022-12-31 19:52:15,2022-12-31 20:01:38,1,1.69,1,"N",231,158,1,11.4,1,0.5,2,0,1,18.4,2.5,0
"77",2,2022-12-31 19:10:02,2022-12-31 19:16:02,1,0.82,1,"N",238,238,1,7.9,1,0.5,3.22,0,1,16.12,2.5,0
"78",2,2022-12-31 19:18:10,2022-12-31 19:20:14,1,0.52,1,"N",237,236,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
"79",2,2022-12-31 19:24:02,2022-12-31 19:33:29,1,1.97,1,"N",263,151,1,12.1,1,0.5,1,0,1,18.1,2.5,0
"80",2,2022-12-31 19:37:07,2022-12-31 19:54:47,1,3.1,1,"N",238,48,2,19.1,1,0.5,0,0,1,24.1,2.5,0
"81",2,2022-12-31 18:51:30,2022-12-31 18:56:06,1,0.86,1,"N",141,140,1,6.5,1,0.5,2,0,1,13.5,2.5,0
"82",2,2022-12-31 19:15:17,2022-12-31 19:23:01,2,0.64,1,"N",43,161,2,7.9,1,0.5,0,0,1,12.9,2.5,0
"83",2,2022-12-31 19:23:56,2022-12-31 19:56:41,1,4.41,1,"N",161,261,1,28.2,1,0.5,8.3,0,1,41.5,2.5,0
"84",2,2022-12-31 19:09:36,2022-12-31 19:16:32,1,0.64,1,"N",79,148,1,7.9,1,0.5,1.29,0,1,14.19,2.5,0
"85",2,2022-12-31 19:19:29,2022-12-31 19:26:22,1,1.08,1,"N",148,232,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
"86",2,2022-12-31 19:09:41,2022-12-31 19:21:28,1,3.04,1,"N",68,13,1,15.6,1,0.5,2.4,0,1,23,2.5,0
"87",2,2022-12-31 19:22:53,2022-12-31 19:32:23,1,1.71,1,"N",13,211,1,11.4,1,0.5,4.1,0,1,20.5,2.5,0
"88",2,2022-12-31 19:35:39,2022-12-31 20:07:01,2,3.05,1,"N",211,50,1,28.2,1,0.5,6.64,0,1,39.84,2.5,0
"89",2,2022-12-31 19:10:52,2022-12-31 19:18:23,2,1.29,1,"N",238,238,2,9.3,1,0.5,0,0,1,14.3,2.5,0
"90",2,2022-12-31 19:25:14,2022-12-31 20:00:29,3,11.19,1,"N",239,133,1,49.2,1,0.5,12.15,6.55,1,72.9,2.5,0
"91",2,2022-12-31 19:37:44,2022-12-31 20:16:14,1,11.03,1,"N",132,188,1,51.3,1,0.5,13.45,0,1,68.5,0,1.25
"92",2,2022-12-31 19:49:24,2022-12-31 20:30:59,1,13.54,1,"N",132,149,1,61.8,1,0.5,12.86,0,1,78.41,0,1.25
"93",1,2022-12-31 19:20:23,2022-12-31 19:24:55,1,1.4,1,"N",137,229,1,7.9,3.5,0.5,2.55,0,1,15.45,2.5,0
"94",1,2022-12-31 19:27:20,2022-12-31 19:31:13,1,1.1,1,"N",229,262,1,7.2,3.5,0.5,2.4,0,1,14.6,2.5,0
"95",1,2022-12-31 19:36:16,2022-12-31 19:45:55,1,1.6,1,"N",262,229,1,11.4,3.5,0.5,3,0,1,19.4,2.5,0
"96",2,2022-12-31 19:20:38,2022-12-31 19:21:26,1,0.08,1,"N",75,75,2,3,1,0.5,0,0,1,5.5,0,0
"97",2,2022-12-31 19:09:16,2022-12-31 19:30:17,1,6.22,1,"N",138,95,2,31,6,0.5,0,0,1,39.75,0,1.25
"98",2,2022-12-31 19:46:56,2022-12-31 19:59:16,1,4.56,1,"N",132,218,1,20.5,1,0.5,5.75,0,1,30,0,1.25
"99",2,2022-12-31 19:10:50,2022-12-31 19:20:19,1,1.41,1,"N",264,186,1,10.7,1,0.5,3.92,0,1,19.62,2.5,0
"100",2,2022-12-31 19:27:35,2022-12-31 19:37:49,1,1.7,1,"N",264,114,1,11.4,1,0.5,2,0,1,18.4,2.5,0
